Total secondary entries: 56320	
Used secondary entries: 36077	
IDX	LPA	PPA	STATE
661	-1	-1	0	
662	-1	-1	0	
663	-1	-1	0	
664	-1	-1	0	
665	-1	-1	0	
666	-1	-1	0	
667	-1	-1	0	
668	-1	-1	0	
669	-1	-1	0	
670	-1	-1	0	
671	-1	-1	0	
672	-1	-1	0	
673	-1	-1	0	
674	-1	-1	0	
675	-1	-1	0	
676	-1	-1	0	
677	-1	-1	0	
678	-1	-1	0	
679	-1	-1	0	
680	-1	-1	0	
681	-1	-1	0	
682	-1	-1	0	
683	-1	-1	0	
684	-1	-1	0	
685	-1	-1	0	
686	-1	-1	0	
687	-1	-1	0	
688	-1	-1	0	
689	-1	-1	0	
690	-1	-1	0	
691	-1	-1	0	
692	-1	-1	0	
693	-1	-1	0	
694	-1	-1	0	
695	-1	-1	0	
696	-1	-1	0	
697	-1	-1	0	
698	-1	-1	0	
699	-1	-1	0	
700	-1	-1	0	
701	-1	-1	0	
702	-1	-1	0	
703	-1	-1	0	
704	-1	-1	0	
705	-1	-1	0	
706	-1	-1	0	
707	-1	-1	0	
708	-1	-1	0	
709	-1	-1	0	
710	-1	-1	0	
711	-1	-1	0	
712	-1	-1	0	
713	-1	-1	0	
714	-1	-1	0	
715	-1	-1	0	
716	-1	-1	0	
717	-1	-1	0	
718	-1	-1	0	
719	-1	-1	0	
720	-1	-1	0	
721	-1	-1	0	
722	-1	-1	0	
723	-1	-1	0	
724	-1	-1	0	
725	-1	-1	0	
726	-1	-1	0	
727	-1	-1	0	
728	-1	-1	0	
729	973735	1059585	1	
730	973746	1059586	1	
731	973751	1059587	1	
732	973753	1059588	1	
733	973754	1059589	1	
734	973756	1059590	1	
735	973757	1059591	1	
736	973760	1059592	1	
737	973764	1059593	1	
738	973779	1059594	1	
739	973781	1059595	1	
740	973783	1059596	1	
741	973788	1059597	1	
742	973804	1059598	1	
743	973805	1059599	1	
744	973806	1059600	1	
745	973822	1059601	1	
746	973833	1059602	1	
747	973834	1059603	1	
748	973842	1059604	1	
749	973847	1059605	1	
750	973857	1059606	1	
751	973860	1059607	1	
752	973861	1059608	1	
753	973866	1059609	1	
754	973867	1059610	1	
755	973869	1059611	1	
756	973876	1059612	1	
757	973885	1059613	1	
758	973888	1059614	1	
759	973893	1059615	1	
760	973898	1059616	1	
761	973906	1059617	1	
762	973912	1059618	1	
763	973914	1059619	1	
764	973915	1059620	1	
765	973917	1059621	1	
766	-1	-1	0	
767	973924	1059623	1	
768	973934	1059624	1	
769	973935	1059625	1	
770	973941	1059626	1	
771	973964	1059627	1	
772	973977	1059628	1	
773	973981	1059629	1	
774	-1	-1	0	
775	973990	1059631	1	
776	974000	1059632	1	
777	974012	1059633	1	
778	974021	1059634	1	
779	974023	1059635	1	
780	974041	1059636	1	
781	974042	1059637	1	
782	974045	1059638	1	
783	974046	1059639	1	
784	974053	1059640	1	
785	974057	1059641	1	
786	177892	552307	1	
787	974080	1059642	1	
788	-1	-1	0	
789	974088	1059643	1	
790	974092	1059644	1	
791	974096	1059645	1	
792	974103	1059646	1	
793	974105	1059647	1	
794	974111	1059648	1	
795	974116	1059649	1	
796	974122	1059650	1	
797	974127	1059651	1	
798	974128	1059652	1	
799	974131	1059653	1	
800	974138	1059654	1	
801	974147	1059655	1	
802	974150	1059656	1	
803	974151	1059657	1	
804	974153	1059658	1	
805	974158	1059659	1	
806	974161	1059660	1	
807	974166	1059661	1	
808	974167	1059662	1	
809	974178	1059663	1	
810	974185	1059664	1	
811	974187	1059665	1	
812	974190	1059666	1	
813	-1	-1	0	
814	974207	1059668	1	
815	974209	1059669	1	
816	974210	1059670	1	
817	974211	1059671	1	
818	974215	1059672	1	
819	974226	1059673	1	
820	974234	1059674	1	
821	974241	1059675	1	
822	974247	1059676	1	
823	974251	1059677	1	
824	974263	1059678	1	
825	974265	1059679	1	
826	974268	1059680	1	
827	974270	1059681	1	
828	-1	-1	0	
829	974292	1059683	1	
830	974296	1059684	1	
831	974299	1059685	1	
832	974307	1059686	1	
833	974316	1059687	1	
834	974376	1059688	1	
835	974377	1059689	1	
836	932313	1059690	1	
837	932331	1059691	1	
838	932336	1059692	1	
839	932343	1059693	1	
840	-1	-1	0	
841	885268	917188	1	
842	-1	-1	0	
843	732905	1059696	1	
844	885280	917191	1	
845	885281	917192	1	
846	-1	-1	0	
847	885287	917194	1	
848	732948	1059698	1	
849	823150	1059699	1	
850	885301	917197	1	
851	823166	1059700	1	
852	823237	1059701	1	
853	823242	1059702	1	
854	823353	1059703	1	
855	823377	1059704	1	
856	823385	1059705	1	
857	823394	1059706	1	
858	-1	-1	0	
859	823401	1059708	1	
860	823417	1059709	1	
861	905071	1011944	1	
862	823446	1059710	1	
863	905088	1011946	1	
864	905120	1011947	1	
865	905130	1011948	1	
866	-1	-1	0	
867	905160	1011950	1	
868	-1	-1	0	
869	905173	1011952	1	
870	930857	965085	1	
871	930858	965086	1	
872	725097	1059712	1	
873	930866	965088	1	
874	930867	965089	1	
875	-1	-1	0	
876	-1	-1	0	
877	725144	1059714	1	
878	930887	965093	1	
879	-1	-1	0	
880	930898	965095	1	
881	725207	1059715	1	
882	905176	1011953	1	
